league                  laar
leagues                 laare
twelve                  ratse
one			er
two                     atta
three                   nelde
four                    kanta
five                    lempe
six                     enque
seven                   otso
eight                   tolto
nine                    nerte
ten                     kainen
a			mine
abhor                   feuya
abhors                  feuye
abide                   himya
abiding                 sanda
aforementioned          yanae
abundance               uuve
abundant                uuvea
abyss                   undume
account                 quentale
actor                   tyaro
actual                  anwae
acute                   laikae
add                     onot
adhering                himbat
adult                   wea
adults                  wean
after                   ala
again                   ata
agent                   tyaroe
agile                   tyelka
ago                     yaa
agony                   qualme
air                     wilma
airy                    wilinae
alas                    ai
alive                   kuila
all                     ilya
allow                   lav
alone                   era
alphabet                tengwanda
ancient                 yaara
and                     ar
animal                  kelva
april                   viiresse
arm                     ranko
army                    hosse
arrow                   pilin
arrows                  pilindi
arrow-shot              pilininge
as                      ve
ascension               orosta
asleep                  lorna
assemble                hostae
associate               otorno
at                      yallume
auger                   terett
august                  uurime
autumn                  yaavie
axe                     pelekko
baby                    lapse
back                    atae
backwards               nan
bake                    mastae
bale                    kalpae
ball                    koron
balrog                  malarauko
band                    hossae
bank                    raava
bark                    parmal
base                    sundo
be                      na
are                     toi
is                      tou
was                     touun
beach                   falasse
bear                    morko
beard                   fanga
bearer                  kolindo
beat                    palpa
beautiful               vanya
beauty                  vanesse
bed                     kaima
bedroom                 kaimasan
bee                     nier
beget                   ontaa
beginning               esse
begotten                nostare
awake                   kuilea
bell                    nyelle
belly                   kumba
beloved                 meldae
bend                    lungaa
beneath                 und
bent                    kauka
between                 imbe
beyond                  tare
big                     alta
bird                    wilin
birthday                nosta
bite                    nak
bites                   nake
black                   mori
blackberry              piukka
black-handed             morimaite
blackness               moore
blade                   hyanda
blades                  hyandavar
blaze                   uryuu
blessed                 almaarea
blink                   tihta
blinking                nienaita
bliss                   almare
block                   taapa
blocks                  taapu
blood                   serke
blossom                 lokte
blot                    motto
blow                    pustae
blue                    luune
boat                    luntuu
bodily                  sarkuvae
bold                    kanya
boldness                verie
promise                 weera
bone                    akso
book                    parma
border                  reenu
both                    yuuyo
bound                   nautaa
bow                     quinga
bow-legged              quingatelko
bowl                    salpaa
branch                  olwa
brand                   yulma
bread                   masta
break                   raaka
breath                  suulae
breathe                 suuya
breeze                  wile
breezy                  wilina
bridge                  yantae
bright                  kallasilya
brilliant               alkara
brilliance              alkare
broken                  raakina
brooch                  tankil
brood                   luvu
brook                   nelle
brother                 onooro
brotherhood             otornasse
brotherly               torwa
brow                    tirne
brown                   varne
bud                     tuima
buffer                  taran
build                   karae
building                ataquae
bull                    tarukko
bump                    yuna
burdensome              lumnaa
burly                   poldaa
burn                    urya
bush                    tussa
but                     eru
yet                     ananta
butterfly               wilwarin
by                      ne
call                    yello
candle                  liikuma
ogre                    sarquii
ogres                   sarquindi
canopy                  telimbo
cape                    mundo
carpenter               samno
carrier                 kolindoo
carry                   kola
cat                     meoi
catch                   atsa
cause                   tyar
cave                    rotele
cease                   hauta
center                  ende
channel                 kelma
chant                   lirae
cherry                  pioe
chief                   heera
child                   seldo
children                seldovar
chilly                  ringae
choke                   quoroe
choked                  quorint
chronicle               luumequenta
chronicles              luumequentavar
circle                  rinde
circular                rinda
city                    osto
clad                    waina
clamor                  nyalme
clan                    nossuu
clasp                   tangwaa
claw                    rakka
claw-fingered           rakkalepta
clean                   poika
clear                   lata
cleared                 latina
cleave                  hyary
cleft                   hyatse
cliff                   ollo
cloak                   kollo
cloth                   lanne
clothes                 lannet
cloud                   lumbar
clouds			lumbara
cobweb                  ungweva
cobwebs                 ungwevar
cold                    ringa
collapse                atalta
collect                 hosta
collide                 crassna
collides                crassne
come                    tulya
commander               kaano
commemorate             enyalet
commerce                mankale
compel                  mauya
complain                nurra
complaint               nur
compulsion              mausta
computer                eputera
conceal                 halyet
conch                   hyalm
conspicuous             minda
construction            ataque
consumer                vaasa
contemptible            faike
control                 turya
copper                  tambe
copper-colored          aira
core                    enda
corporeal               sarkuva
corpse                  quelet
corpse-candle           kaivokalmet
count                   noota
countable               nootime
counted                 nootina
countless               uunootime
country                 nooria
course                  tie
cover                   tuupa
covering                telmet
covers                  tope
crack                   kiris
craft                   kurwe
craftsman               tano
create                  onta
creature                onna
crescent                kuune
crooked                 hwarin
cross                   tara
crossbar                hwarma
crossing                tarne
crow                    korko
crowd                   rimbe
crown                   rie
crowned                 riina
cruel                   nwalka
crumble                 ruksa
crumbles                ruske
crumbling               ruste
cry                     nalla
cries                   nalli
crying                  nallat
cunning                 finie
cup                     yulmet
cupola                  korominda
curved                  kuuna
cushion                 nirwa
cut                     rista
dagger                  sikil
dagger-minded           sikahonda
damp                    ringet
dance                   lilta
dangle                  linga
danian-elves            pereldar
dare                    verya
dark                    nulla
darkness                lumbule
daughter                selde
dawn                    aara
day                     daana
daylight                aure
daytime                 arie
dead                    qualin
dear                    melin
death                   unquale
declivity               pende
decrepit                yernit
deep                    nura
dell                    nell
demon                   rauko
deny                    laly
depart                  wanyaa
descendant              indyou
describe                osteka
desert                  erume
deserted                erdet
desirable               iirima
desire                  iiret
destine                 martya
destiny                 maranwe
device                  tanwe
devices                 tanwee
dew                     rosse
dexterous               formaita
direction               tia
dirty                   waara
disappear               wanne
discolored              puurea
discussion              oquenie
disgust                 feuyae
dish                    vene
disordered              ruukina
distance                haiyasse
divine                  valya
divinity                valasse
do                      tya
does                    tyuu
doer                    tyara
dog                     huo
dogs                    huota
dome                    koromindo
doom                    ambarta
dot                     tik
double                  tatye
dough                   makse
dove                    kua
down                    undu
below                   nuun
downfallen              atalantea
downslope               pendee
dragon                  fenume
dragons                 fenumen
draught                 yulda
draw                    tuka
drawing                 halme
dread                   aista
dream                   oloore
dreamy                  oloorea
drink                   sukya
drip                    lipte
drop                    limba
drowned                 quorin
drowsy                  lorda
dry                     parka
dryad                   nandin
dual                    veru
dusk                    loome
dusky                   nully
dust                    asto
dwarf                   nauko
dwarves                 nauken
dwell                   mara
dwelling                noora
dwindle                 piika
eagle                   sorne
early                   arinya
earth                   kemi
earthen                 kemina
east                    roomen
eastern                 roomenya
eat                     mat
eating                  matuu
ate                     mata
echo                    nallo
echoing                 laamina
eddy                    hwinda
edge                    reenae
elbow                   ooleme
elephant                andamunda
eleven                  minque
elm                     alalme
elf                     quendel
elves                   quendelie
elvish                  quendelian
ember                   yuulu
empty                   kumna
enchant                 luhta
enchantment             luuke
end                     metya
ends                    metye
ending                  tyelma
endless                 oio
endurance               voronwie
endure                  termara
enduring                voronwa
enemy                   kotumo
enemies                 kotumuu
enough                  faarea
envelope                waya
escape                  usii
escapes                 usin
establish               tulkae
established             tulkan
eternal                 oira
etymology               quettasundolie
evening                 anduune
ever                    voro
everlasting             vorima
every                   nuttesa
evil                    ulka
evil-eyed               henulka
evil-smelling           saura
exalted                 varda
except                  enga
excessive               liima
excessively             liime
expand                  palyaa
expansive               palla
extend                  paluu
extended                tainae
extension               taile
eye                     hen
eyes                    hend
face                    antu
fade-away               fifiira
fade                    sintane
fair                    vanimaa
faithful                voronda
fall                    lantane
fallen                  talant
falling                 lante
fallow                  malwa
familiar                moina
family                  nossu
fang                    karkat
far                     haiya
far-away                vahaiya
farewell                namaarie
fasten                  take
fat                     tiukaa
fate                    ambart
father                  atar
fathom                  rangwe
fawn                    marya
fear                    kaure
feast                   merendae
feather                 quesse
february                neenime
feet                    talwi
fell                    helma
female                  inya
fence                   pele
field                   peler
festival                merende
festive                 merya
fated                   martae
fiery                   uuruva
fill                    quanta
final                   meetima
find                    tuuva
found                   tuuvuu
fine                    tereva
finger                  lepta
fingers                 leptavar
fire                    uur
firm                    tulunka
first                   inga
firstborn               estanesse
fish                    lingwe
fit                     maara
fix                     tulku
fixed                   tankat
flagstone               ambal
flame                   naar
flaming                 urwa
flame-colored           kulda
flat                    laara
fleece                  ue
flesh                   sarko
fleshy                  sarqua
shot                    inge
flint                   tinga
flint-hearted           tingahondo
float                   lutu
flood                   ulunde
flooding                uulea
floor                   talan
floorboard              pano
flour                   pore
flourish                rinke
flow                    kelume
flower                  loote
flowers			lootelot
flowing                 siirima
flute                   simpa
fluttering              wilwa
fly                     wil
flies                   wille
flying                  rimpa
foam                    falasta
fog                     hui
folk                    hos
follow                  hilya
follower                hilde
fond                    ser
food                    apsa
foot                    taal
footprint               runya
for                     ten
forbid                  avaquet
foreign                 ettelen
forest                  taure
forever                 ullume
forge                   tamin
former                  yana
fort                    arta
forth                   et
fortress                artan
fortunate               herenya
fortune                 manar
foul                    saurae
foulbellied             saurikumba
foundation              talma
fountain                kektele
free                    mirima
freeze			hilka
freezes                 hilkin
frequent                rimba
fresh                   wenya
freshness               ween
friend                  nildo
friends                 nildovar
friendly                nilda
from                    ho
frost                   ringwe
fruit                   yaave
full                    quantas
highway                 quanta-malle
fun                     ressutuu
fungus                  hwan
galadriel               altariel
game                    tyalie
gandalf                 oloorin
gash                    hyatsh
gate                    ando
gather                  sanga
germ                    erde
giant                   norsa
gift                    anna
gimlet                  teret
give                    anta
gives			antes
giving			ante
giver                   antoe
glass                   hyelle
gleam                   silda
gleaming                silde
glint                   tinde
glinting                tinda
glitter                 mirilya
glitters                mirilye
glittering              rilya
globe                   korono
gloom                   ungwa
gloomy                  morna
glorious                alkarinqua
glory                   alkaraa
go                      wanya
going			wanye
goes			wanyet
goat                    nyeene
goblet                  suulo
god                     ainatar
gold                    malda
golden                  laurina
goldleaf                laurealasse
